"Note: Extra time is compared against the fastest machine for 10,000 sheets."
Die,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6
75964,75 (22093) - fastest,DIANA (17650) - +0h 7m,110WP (17313) - +0h 7m,,,
75999,INT (47930) - fastest,110WP (42266) - +0h 2m,ALPINA (37419) - +0h 4m,,,
76002,110WP (21098) - fastest,,,,,
76016,75 (36803) - fastest,115D (18655) - +0h 16m,,,,
76038,110WP (35982) - fastest,,,,,
76039,110WP (32378) - fastest,ALPINA (31197) - +0h 1m,INT (30915) - +0h 1m,115D (27049) - +0h 4m,DIANA (20340) - +0h 11m,
76070,115D (14314) - fastest,DIANA (10918) - +0h 13m,ALPINA (8794) - +0h 26m,,,
76080,110WP (43788) - fastest,INT (43788) - +0h 0m,,,,
76092,ALPINA (3904) - fastest,,,,,
76120,75 (17855) - fastest,110WP (16688) - +0h 2m,115D (7137) - +0h 50m,,,
76126,75 (21533) - fastest,DIANA (10385) - +0h 30m,115D (8434) - +0h 43m,110WP (7579) - +0h 51m,ALPINA (2013) - +4h 30m,
76133,115D (9729) - fastest,110WP (7748) - +0h 16m,,,,
76144,115D (29921) - fastest,110WP (29647) - +0h 0m,,,,
76157,115D (3545) - fastest,,,,,
76158,ALPINA (5600) - fastest,,,,,
76188,115D (4665) - fastest,,,,,
76190,FLAT (8700) - fastest,,,,,
76196,INT (36035) - fastest,ALPINA (35273) - +0h 0m,,,,
76211,115D (21037) - fastest,110WP (20800) - +0h 0m,DIANA (18924) - +0h 3m,,,
76232,110WP (28844) - fastest,,,,,
76242,110WP (43744) - fastest,INT (41766) - +0h 1m,,,,
76252,75 (32560) - fastest,,,,,
76256,DIANA (7517) - fastest,,,,,
76265,75 (14655) - fastest,110WP (8560) - +0h 29m,,,,
76266,115D (10935) - fastest,,,,,
76269,75 (16919) - fastest,ALPINA (16485) - +0h 1m,,,,
76283,DIANA (15390) - fastest,,,,,
76293,FLAT (11301) - fastest,,,,,
76309,110WP (40000) - fastest,,,,,
76310,110WP (24910) - fastest,,,,,
76312,INT (39373) - fastest,110WP (36959) - +0h 1m,,,,
76313,75 (27650) - fastest,INT (24913) - +0h 2m,,,,
76321,110WP (21578) - fastest,INT (20772) - +0h 1m,,,,
76324,75 (55572) - fastest,INT (49169) - +0h 1m,110WP (32948) - +0h 7m,,,
76327,75 (21331) - fastest,INT (15526) - +0h 11m,110WP (14629) - +0h 13m,DIANA (12115) - +0h 21m,,
76341,75 (33635) - fastest,FLAT (33635) - +0h 0m,,,,
76343,110WP (45849) - fastest,75 (37027) - +0h 3m,,,,
76377,110WP (14958) - fastest,DIANA (14879) - +0h 0m,,,,
76405,INT (29153) - fastest,110WP (21838) - +0h 7m,DIANA (17845) - +0h 13m,,,
